Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,scale_vec_size_m,scale_vec_size_n,scale_vec_size_k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,34.456,7.369,31914.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,31.7934,7.92517,34587.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,35.9319,3.58752,30603.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,32.6683,3.8866,33661
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,34.1669,3.77284,32184.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,34.7511,3.65365,31643.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,35.1774,7.21788,31260
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,33.3131,7.56365,33009.4
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,36.1267,7.02822,30438.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,33.7204,7.47227,32610.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,32.362,3.98326,33979.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,34.5921,3.67044,31788.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,31.7515,4.05985,34632.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,31.3712,4.04729,35052.7
