Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,scale_vec_size_m,scale_vec_size_n,scale_vec_size_k,A,B,C,D,alpha,beta,split_k_mode,split_k_slices,batch_count,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,136331264,1099645845504,8065,22.2358,5.71008,49453.8
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_128x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align128_cooperative_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,128,128,128,1,1,1,1,1,1,2,4,2,1,16,8,32,120,121,134250496,1099645845504,8191,22.9026,5.45923,48014.1
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,38.5946,6.5788,28492.2
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,41.8521,6.02044,26274.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,43.1689,5.88169,25473.1
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,45.6791,5.51605,24073.3
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,45.5361,2.83086,24148.9
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,42.0628,3.01854,26143
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,44.2326,2.91428,24860.6
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe4m3_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe4m3:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,42.0154,3.02195,26172.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,46.3123,5.48247,23744.1
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,44.5559,5.65511,24680.1
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,272629760,1099645845504,4033,43.1089,5.88988,25508.5
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_bf16_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,bf16:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,270548992,1099645845504,4064,41.991,6.00054,26187.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,33.775,3.81662,32558
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnt_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:row,bf16:row,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,32.9129,3.8577,33410.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_1x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,138412032,1099645845504,7944,34.512,3.73511,31862.7
1,CUTLASS,gemm,cutlass3x_sm120_tensorop_gemm_1x128f32xe4m3_128x128f32xe5m2_f32_void_bf16_64x128x128_1x1x1_0_tnn_align128_pingpong_q,not_verified,success,universal,8192,8192,8192,0,0,0,fe4m3:row,fe5m2:column,void:column,bf16:column,1,0,serial,1,1,invalid,invalid,heuristic,1,false,tensorop,f32,64,128,128,1,1,1,1,1,1,3,4,1,1,16,8,32,120,121,136331264,1099645845504,8065,33.1049,3.83533,33217
